date,open,high,low,close,volume
2017-08-11,220.08,264.08,217.5,264.08,27617037
2017-08-14,286.0,287.5,264.83,271.15,9601359
2017-08-16,268.78,274.0,264.5,268.1,3241033
2017-08-17,267.4,273.48,266.1,268.78,2165189
2017-08-18,267.5,268.7,259.0,267.23,2393064
2017-08-21,268.33,269.85,260.43,262.13,1110529
2017-08-22,264.0,265.0,250.0,256.25,1519839
2017-08-23,256.78,258.95,252.53,254.3,966549
2017-08-24,255.0,263.75,253.75,256.6,1651118
2017-08-28,257.5,260.5,254.45,255.05,536389
2017-08-29,254.0,258.5,251.5,252.13,814510
2017-08-30,253.25,258.45,253.25,257.43,851036
2017-08-31,258.25,260.45,254.1,256.73,672046
2017-09-01,257.5,269.43,256.0,265.8,2014321
2017-09-04,264.5,272.75,262.5,268.3,1526587
2017-09-05,269.5,271.9,266.75,269.6,644963
2017-09-06,268.45,272.5,265.5,266.4,738552
2017-09-07,267.0,268.73,265.0,266.45,399361
2017-09-08,267.3,280.55,265.53,274.45,2603570
2017-09-11,275.88,286.48,272.0,281.1,2517536
2017-09-12,289.38,289.9,278.03,279.3,1847950
2017-09-13,279.23,279.23,271.1,272.0,673944
2017-09-14,272.73,274.93,270.28,271.13,473625
2017-09-15,270.0,279.5,268.5,273.7,937862
2017-09-18,275.95,280.48,274.5,277.05,815587
2017-09-19,277.45,278.0,272.18,272.63,296005
2017-09-20,273.0,277.43,272.5,272.78,348093
2017-09-21,273.48,275.0,267.0,270.18,394432
2017-09-22,269.55,269.55,264.28,266.43,491830
2017-09-25,266.43,266.75,255.5,262.58,473975
2017-09-26,262.5,267.25,260.25,263.78,206712
2017-09-27,265.0,265.78,260.5,263.0,806257
2017-09-28,264.0,264.0,258.7,260.3,294176
2017-09-29,261.95,265.8,259.08,260.0,287835
2017-10-03,263.0,264.0,259.63,260.05,246104
2017-10-04,261.0,264.45,259.6,260.05,773387
2017-10-05,260.85,263.0,258.93,259.28,298381
2017-10-06,260.3,262.33,259.0,259.35,267352
2017-10-09,260.0,262.43,257.5,258.05,299036
2017-10-10,258.98,293.1,258.5,286.13,6646750
2017-10-11,290.0,296.0,276.85,281.73,4682384
2017-10-12,283.45,287.35,281.7,283.93,925375
2017-10-13,285.45,291.4,281.03,286.53,1247933
2017-10-16,288.4,288.85,282.5,284.73,497121
2017-10-17,284.95,288.18,281.5,283.95,581641
2017-10-18,284.2,287.95,280.03,283.6,480600
2017-10-19,284.0,286.18,283.0,284.15,225773
2017-10-23,284.5,287.5,283.0,285.1,374789
2017-10-24,286.5,291.95,285.35,289.3,1072743
2017-10-25,291.45,293.0,284.65,285.48,331812
2017-10-26,286.2,287.08,283.05,283.58,282935
2017-10-27,284.9,291.5,282.63,285.65,558697
2017-10-30,286.0,290.0,285.2,287.65,367015
2017-10-31,289.0,298.9,286.53,289.85,1198217
2017-11-01,291.0,293.5,287.75,289.15,348144
2017-11-02,289.75,292.0,287.0,288.03,274241
2017-11-03,288.85,290.0,287.0,287.5,201896
2017-11-06,287.23,289.9,285.5,286.4,212878
2017-11-07,288.25,288.25,281.55,283.73,376771
2017-11-08,282.5,286.0,281.45,282.88,406024
2017-11-09,282.58,285.35,281.05,281.55,320272
2017-11-10,281.6,284.7,280.7,281.73,256802
2017-11-13,280.0,280.0,273.0,274.83,358622
2017-11-14,274.85,277.5,272.83,275.7,180115
2017-11-15,276.98,276.98,270.5,270.93,166221
2017-11-16,272.93,274.4,271.0,272.18,117416
2017-11-17,273.4,281.5,273.4,277.13,275856
2017-11-20,280.0,289.6,279.0,287.53,683527
2017-11-21,289.0,292.5,283.8,286.83,415043
2017-11-22,287.85,288.95,284.0,284.9,173187
2017-11-23,286.0,288.0,283.13,286.08,174324
2017-11-24,286.85,299.5,286.03,287.9,1264634
2017-11-27,287.5,292.7,284.0,284.88,336504
2017-11-28,285.35,288.08,285.0,285.7,353174
2017-11-29,286.0,286.63,284.08,284.65,211261
2017-11-30,284.25,289.68,283.0,284.8,607453
2017-12-01,284.93,287.0,279.1,280.13,359864
2017-12-04,281.0,282.0,276.5,279.6,123917
2017-12-05,279.6,279.6,276.0,277.0,110050
2017-12-06,277.0,279.0,275.25,276.05,126382
2017-12-07,277.0,279.5,276.0,276.63,110896
2017-12-08,277.0,280.0,275.85,276.65,200899
2017-12-11,278.0,279.5,276.15,276.88,190590
2017-12-12,277.95,279.5,273.05,274.25,147218
2017-12-13,275.0,275.9,271.58,272.2,91057
